,Sex,Monthly Grocery Bill,Vehicle Monthly Distance Km,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission,Body Type_obese,Body Type_overweight,Body Type_underweight,Diet_vegetarian,How Often Shower_twice a day,Heating Energy Source_electricity,Transport_public,Transport_walk/bicycle,Social Activity_often,Frequency of Traveling by Air_never,Frequency of Traveling by Air_rarely,Frequency of Traveling by Air_very frequently,Waste Bag Size_large,Waste Bag Size_medium,Waste Bag Size_small,Vehicle Type_electric,Vehicle Type_hybrid,Vehicle Type_lpg,Vehicle Type_petrol,Vehicle Type_unknown,Glass,Metal,Paper,Plastic,Oven
24,0,-1.5488657118474054,1.3379349828249145,-1.5196894394328637,-1.0046702441905377,-0.3475985419810399,1.1146163198717975,4284,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
25,1,-1.1058389929756895,-0.7017265901746166,0.992526125324234,0.6840403858921679,-1.7083287904877527,-1.221558141386578,807,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1
26,1,1.1785175262065943,-0.5320255918900034,-0.012360100578605121,-1.1453961300307633,1.6934968307790292,1.5268824012703344,1991,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
27,0,-1.4796427870236997,-0.4619787968533759,-0.5148032135300247,0.26186272837149144,0.809022169249666,0.2900841570747239,1817,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
28,0,-0.6074339342450095,-0.7078647113891664,-1.0172463264814442,-0.30104081498941043,-0.6877811041077181,-0.25960395145665854,1490,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
29,1,1.1646729412418533,-0.3623245936053903,-1.0172463264814442,0.121136842531266,1.2852777562270155,-1.0841361142537322,1561,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
30,1,0.20939657867471634,-0.18215268266066276,-0.012360100578605121,1.5283957009335207,0.6049126319736591,-0.25960395145665854,2202,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
31,1,1.2200512811008177,-0.7017265901746166,0.49008301237281443,1.6691215867737461,-1.1640366910850675,0.42750618420756953,2024,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
32,1,-0.23363014019699938,-0.7071425794815723,-0.012360100578605121,-1.5675737875514397,1.1492047313763443,1.389460374137489,1659,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
33,1,1.4692538104661579,2.2705683414826927,0.49008301237281443,-0.44176670082963587,-1.7083287904877527,-1.0841361142537322,3911,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1
34,0,-0.7320351989276795,-0.7075036454353694,0.992526125324234,-0.16031492914918494,-1.43618274078641,-0.25960395145665854,1204,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
35,1,0.0017278042035995993,-0.7302508005245835,-1.0172463264814442,-1.5675737875514397,1.0131317065256729,0.42750618420756953,2431,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
36,0,-0.012116780761141517,-0.7118364368809339,-1.0172463264814442,0.5433145000519424,-0.7558176165330537,1.1146163198717975,1640,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
37,0,0.3478424283221275,-0.7288065367093952,0.49008301237281443,0.6840403858921679,-1.3001097159357389,0.42750618420756953,1648,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
38,0,-1.1058389929756895,-0.7219462835872513,0.992526125324234,0.40258861421171693,-1.3681462283610746,0.7023502384732607,1002,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
39,1,-1.521176541917923,-0.7158081623727015,-1.5196894394328637,0.9654921575726189,1.4893872935030223,0.5649282113404152,1771,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
40,1,-1.022771483187243,-0.2457002905289434,-1.5196894394328637,1.1062180434128444,-0.07545249227969734,-0.9467140871208866,2028,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
41,1,0.9154704118765132,-0.11030055785504995,-1.0172463264814442,0.40258861421171693,-0.41563505440637555,-0.9467140871208866,2540,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
42,1,0.9846933367002189,-0.3648520552819697,1.4949692382756534,0.26186272837149144,1.557423805928358,-0.25960395145665854,1386,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
43,1,1.3308079608187466,-0.7111143049733398,0.49008301237281443,1.3876698150932953,-0.27956202955570425,-0.12218192432381292,1679,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
44,0,1.6630779999725334,2.692293375517646,0.49008301237281443,0.5433145000519424,-0.3475985419810399,0.8397722656061064,3141,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
45,0,-1.2027510877288774,-0.35907500002121684,-0.012360100578605121,-1.708299673391665,-0.9599271538090607,1.66430442840318,2627,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
46,0,0.48628827796953866,2.7164847944220485,-1.0172463264814442,0.121136842531266,1.2172412438016798,-1.221558141386578,1188,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
47,0,-0.6905014440334561,2.5272862346323945,0.49008301237281443,-1.5675737875514397,-0.9599271538090607,-0.9467140871208866,3174,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
48,1,1.4138754706071934,-0.205983035611268,1.4949692382756534,0.9654921575726189,-1.3681462283610746,0.0152401028090327,2327,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
49,1,-1.161217332834654,-0.719418821910672,-0.5148032135300247,1.3876698150932953,-1.2320732035104032,-0.3970259785895041,1822,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1
50,1,-0.5243664244565628,1.0837445513517918,0.992526125324234,-1.708299673391665,1.2172412438016798,1.66430442840318,2665,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
51,0,0.9985379216649599,-0.34896515331489947,-0.012360100578605121,1.3876698150932953,1.2172412438016798,-0.6718700328551954,2129,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
52,0,-1.1058389929756895,-0.39879225493889225,0.49008301237281443,0.8247662717323934,-1.0279636662343963,1.2520383470046432,1425,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1
53,0,1.0954500164181478,0.08864678268712416,-1.5196894394328637,-1.708299673391665,-0.9599271538090607,1.1146163198717975,1690,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
54,1,0.3616870132868686,-0.6984769965904432,1.4949692382756534,0.121136842531266,-0.4836715668317112,-1.6338242227851147,1717,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
55,0,1.483098395430899,1.892171221903385,-1.0172463264814442,-1.1453961300307633,0.8770586816750016,-0.9467140871208866,4060,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
56,1,-1.2719740125525831,1.165706522863722,-0.5148032135300247,0.26186272837149144,-0.4836715668317112,0.7023502384732607,3262,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
57,1,-1.396575277235253,-0.10163497496392078,-1.5196894394328637,-0.44176670082963587,0.3327665822723165,0.0152401028090327,1674,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
58,0,0.9985379216649599,0.34897533537479664,-0.012360100578605121,-1.708299673391665,0.7409856568243304,-1.221558141386578,3135,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
59,0,-1.050460653116725,2.5691698852728524,0.49008301237281443,-1.5675737875514397,1.6254603183536935,1.1146163198717975,4465,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
60,0,1.1369837713123712,-0.030504982065902086,-0.5148032135300247,1.5283957009335207,0.5368761195483234,-0.5344480057223497,1984,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,1,1.5661659052193457,1.0303067901898286,-1.5196894394328637,1.2469439292530697,-0.27956202955570425,-1.221558141386578,3246,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
62,1,-1.5350211268826641,-0.7262790750328159,-0.012360100578605121,-1.5675737875514397,-1.3001097159357389,0.2900841570747239,1351,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
63,0,-0.21978555523225826,-0.7251958771714248,-1.5196894394328637,1.6691215867737461,0.5368761195483234,-1.3589801685194234,1929,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
64,0,0.9293149968412543,-0.7212241516796573,0.49008301237281443,1.6691215867737461,-0.6877811041077181,-0.25960395145665854,2719,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
65,1,0.02941697413308183,-0.712197502834731,-1.5196894394328637,-0.16031492914918494,1.0811682189510086,0.977194292738952,2336,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
66,1,0.20939657867471634,-0.48725341361916935,0.992526125324234,-1.708299673391665,0.6729491443989947,-1.221558141386578,1270,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
67,1,0.5555112027932442,-0.7298897345707864,0.992526125324234,1.1062180434128444,-0.891890641383725,1.66430442840318,1803,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
68,1,1.2477404510303,-0.7298897345707864,-1.5196894394328637,-0.7232184725100869,-0.21152551713036863,0.7023502384732607,1816,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1
69,0,0.5416666178285031,2.142028861930943,-1.5196894394328637,0.5433145000519424,1.2172412438016798,-0.3970259785895041,4638,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
70,1,1.483098395430899,0.5685034352834025,-0.5148032135300247,0.5433145000519424,-1.1640366910850675,1.389460374137489,1909,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
71,0,1.4692538104661579,-0.5399690428735385,-1.0172463264814442,-1.4268479017112141,0.3327665822723165,-1.496402195652269,2021,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
72,0,-0.6766568590687151,-0.16879324237017193,0.49008301237281443,-1.1453961300307633,-0.6877811041077181,1.5268824012703344,1896,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
73,0,0.19555199370997522,-0.705337249712587,-0.012360100578605121,-0.16031492914918494,-0.27956202955570425,-1.221558141386578,1770,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
74,1,1.0677608464886654,-0.6981159306366461,-1.5196894394328637,-0.019589043308959476,1.4893872935030223,-1.221558141386578,1323,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
75,1,1.5384767352898634,-0.07636035819812734,-1.5196894394328637,1.2469439292530697,-0.07545249227969734,-0.3970259785895041,2269,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
76,0,0.8324029020880666,-0.6457613673360739,-0.012360100578605121,1.1062180434128444,0.7409856568243304,-0.9467140871208866,1918,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
77,1,-1.147372747869913,-0.16084979138663685,1.4949692382756534,-0.5824925866698614,1.2172412438016798,-1.3589801685194234,2477,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1
78,1,-0.7735689538219028,-0.7295286686169894,-0.5148032135300247,-0.8639443583503124,-1.0279636662343963,0.5649282113404152,1444,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
79,1,-1.3688861073057708,-0.7075036454353694,0.49008301237281443,0.40258861421171693,1.1492047313763443,0.5649282113404152,1254,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
80,0,-0.552055594386045,-0.31574708556557096,0.49008301237281443,0.9654921575726189,0.6729491443989947,-0.25960395145665854,1411,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
81,0,1.49694298039564,-0.235229377868829,-0.012360100578605121,-0.7232184725100869,-0.9599271538090607,-0.5344480057223497,1605,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
82,0,-0.8843256335398318,1.348044829531232,0.49008301237281443,-0.7232184725100869,-1.5722557656370815,0.8397722656061064,3054,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
83,1,0.3893761832163508,-0.7002823263594283,0.992526125324234,-0.44176670082963587,-0.6197445916823825,0.2900841570747239,2902,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
84,0,-1.631933221635852,2.0817308476468357,1.4949692382756534,1.3876698150932953,-1.1640366910850675,0.42750618420756953,4301,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
85,1,0.6801124674759143,-0.7154470964189045,-0.5148032135300247,-0.019589043308959476,0.6729491443989947,1.389460374137489,2308,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
86,1,0.3893761832163508,2.0210717674089316,-1.5196894394328637,0.6840403858921679,0.809022169249666,-1.3589801685194234,4132,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
87,0,-0.8289472936808673,0.12114271852885858,-0.5148032135300247,-1.5675737875514397,1.0811682189510086,1.5268824012703344,2993,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1
88,1,-0.4551434996328572,0.696320782927558,-1.5196894394328637,-0.7232184725100869,-0.27956202955570425,-1.496402195652269,3098,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
89,1,0.8600920720175488,-0.7183356240492809,-1.0172463264814442,0.9654921575726189,-0.6877811041077181,-0.25960395145665854,1364,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
90,1,-1.0919944080109485,1.597180337651196,-1.5196894394328637,0.40258861421171693,0.40080309469765213,0.2900841570747239,2941,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
91,1,1.0400716765591833,-0.7186966900030779,-0.012360100578605121,-0.8639443583503124,-1.5722557656370815,-1.0841361142537322,1349,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
92,1,0.5416666178285031,-0.7078647113891664,-1.5196894394328637,1.6691215867737461,-0.5517080792570468,0.5649282113404152,1038,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
93,0,-1.2858185975173242,-0.719418821910672,1.4949692382756534,0.5433145000519424,0.40080309469765213,0.42750618420756953,1815,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
94,1,-1.147372747869913,-0.7154470964189045,-1.5196894394328637,0.121136842531266,0.26473006984698083,1.66430442840318,2566,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
95,1,1.6215442450783102,2.4103008656021507,-0.5148032135300247,-1.4268479017112141,-0.14348900470503298,1.5268824012703344,2439,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1
96,1,-1.4381090321294765,-0.6732023798246497,-1.0172463264814442,-0.44176670082963587,-1.2320732035104032,1.1146163198717975,2056,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1
97,1,-1.1750619177993953,-0.5056677772628189,1.4949692382756534,-1.4268479017112141,-1.7083287904877527,0.8397722656061064,2299,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0
98,0,-0.7320351989276795,-0.6634535990721293,0.992526125324234,0.40258861421171693,-0.6197445916823825,0.8397722656061064,1492,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
99,1,0.33399784335738636,-0.7168913602340926,-1.5196894394328637,-0.019589043308959476,1.3533142686523512,0.7023502384732607,1692,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1
100,0,0.8324029020880666,-0.720140953818266,-0.5148032135300247,0.40258861421171693,0.26473006984698083,-1.221558141386578,2581,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
101,0,-1.2442848426231008,-0.7223073495410484,-1.0172463264814442,-1.708299673391665,-1.640292278062417,-1.496402195652269,950,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
102,0,0.11248448392152853,0.30636955282674483,0.49008301237281443,-0.30104081498941043,-1.096000178659732,-1.496402195652269,1923,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1
103,1,1.4000308856424524,-0.7313339983859746,-1.0172463264814442,0.9654921575726189,1.6254603183536935,0.977194292738952,1751,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
104,1,0.7493353922996199,-0.7190577559568749,0.992526125324234,-1.5675737875514397,0.6729491443989947,-0.6718700328551954,2562,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
105,0,-0.46898808459759833,-0.7331393281549599,0.992526125324234,-0.44176670082963587,-0.07545249227969734,1.66430442840318,2456,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
106,1,0.8047137321585843,-0.2493109500669139,-1.5196894394328637,1.3876698150932953,-1.1640366910850675,-1.496402195652269,657,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
107,1,-0.8151027087161262,-0.5916014742665165,-0.5148032135300247,1.2469439292530697,-0.8238541289583894,-0.3970259785895041,1758,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
108,1,-0.23363014019699938,-0.6645367969335205,-0.012360100578605121,-1.4268479017112141,1.2852777562270155,0.0152401028090327,2184,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
109,1,-0.2474747251617405,-0.6862007541613434,-1.5196894394328637,0.26186272837149144,-0.3475985419810399,1.5268824012703344,3009,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
110,0,1.0816054314534067,-0.22114780567074407,0.49008301237281443,-0.5824925866698614,1.2172412438016798,1.1146163198717975,3748,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
111,1,-0.16440721537329378,2.573502676718417,1.4949692382756534,-1.4268479017112141,0.06062053257097393,0.5649282113404152,1122,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
112,0,-0.39976515977389276,2.1608042915283896,-0.5148032135300247,1.2469439292530697,-0.7558176165330537,0.5649282113404152,2810,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
113,1,0.5555112027932442,-0.7020876561284136,-0.5148032135300247,1.6691215867737461,0.4688396071229878,1.5268824012703344,1346,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
114,1,-0.6628122741039739,-0.7324171962473658,0.49008301237281443,0.40258861421171693,-1.5042192532117458,0.0152401028090327,671,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1
115,1,-1.147372747869913,-0.7288065367093952,-1.5196894394328637,0.9654921575726189,1.2852777562270155,0.5649282113404152,1695,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
116,1,0.4309099381105742,-0.7067815135277753,-0.5148032135300247,-0.8639443583503124,-1.5722557656370815,0.977194292738952,810,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
